ID_registro,ano,mes,ID_indicador,ID_cooperativa,valor,categoria
180,2025,4,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0816741575529389,Micro 1
181,2025,5,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.252236304970674,Micro 1
183,2025,5,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.5045585196401775,Micro 1
184,2025,5,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.072456881959714,Micro 1
186,2025,6,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
187,2025,6,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
189,2025,7,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
190,2025,7,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
192,2025,8,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
193,2025,8,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
195,2025,9,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
196,2025,9,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
198,2025,10,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
199,2025,10,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
201,2025,11,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
202,2025,11,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
204,2025,12,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
205,2025,12,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
206,2021,1,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0555656490798379,Micro 1
207,2021,1,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0293436610091739,Micro 1
208,2021,1,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0196150461559958,Micro 1
209,2021,2,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0652299215898,Micro 1
210,2021,2,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0401896874947995,Micro 1
211,2021,2,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0182863210501865,Micro 1
212,2021,3,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0552651278929554,Micro 1
213,2021,3,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0325062900382243,Micro 1
214,2021,3,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0190502201702518,Micro 1
215,2021,4,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0560737996306247,Micro 1
216,2021,4,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0433327140370956,Micro 1
217,2021,4,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0187798797566897,Micro 1
218,2021,5,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0570440077822277,Micro 1
219,2021,5,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0404101246244084,Micro 1
220,2021,5,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0180907140644992,Micro 1
221,2021,6,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
222,2021,6,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
223,2021,6,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
224,2021,7,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
225,2021,7,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
226,2021,7,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
227,2021,8,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
228,2021,8,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
229,2021,8,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
230,2021,9,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
231,2021,9,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
232,2021,9,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
233,2021,10,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
234,2021,10,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
235,2021,10,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
236,2021,11,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
237,2021,11,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
238,2021,11,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
239,2021,12,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
240,2021,12,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
241,2021,12,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
242,2022,1,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0669537264805217,Micro 1
243,2022,1,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0407995301659835,Micro 1
244,2022,1,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0183598363023686,Micro 1
245,2022,2,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0770320960459698,Micro 1
246,2022,2,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0514484193408687,Micro 1
247,2022,2,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0220102244338997,Micro 1
248,2022,3,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0683220724276888,Micro 1
249,2022,3,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0368076454017746,Micro 1
250,2022,3,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0181271238057392,Micro 1
251,2022,4,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0706207580865675,Micro 1
252,2022,4,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0384291131825595,Micro 1
253,2022,4,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0180413203269077,Micro 1
254,2022,5,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0749861915421652,Micro 1
255,2022,5,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0458020494756651,Micro 1
256,2022,5,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0165266480130182,Micro 1
257,2022,6,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
258,2022,6,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0,Micro 1
